Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;SOL4;SOL5;SOL6;SOL7;SOL8;Sum;Average;ID
Visinski Andrejc;Maja;OK Slovenj Gradec;Ž35;;;;;;;;;;;;0;0;229
Mihelič Pogorelčnik;Anja;OK Slovenj Gradec;Ž35;;;;;;;;;;;;0;0;1015
Bončina;Abigael Vanessa;OK Slovenske Konjice;Ž35;;;;;;;;;;;;0;0;931
Mihelič Porogelčnik;Anja;OK Slovenj Gradec;Ž35;;;;;;;;;;;;0;0;1015
Žižek;Saša;OK Azimut;Ž45;0:45:52;1;25;;25;25;;;20;20;25;115;23;110
Stojan;Petra;OK Komenda;Ž45;0:48:26;2;20;*;20;20;25;20;12;25;20;110;22;892
Poljanšek;Marjanca;OK Azimut;Ž45;0:54:08;3;15;*;;15;20;25;15;;15;90;18;188
Mezga;Tanja;OK Slovenj Gradec;Ž45;;;;*;12;10;12;;25;;;59;15;639
Škarabot;Alenka;OK Polaris;Ž45;0:58:37;4;12;*;8;12;10;15;10;;12;59;12;462
Vodlan;Darja;OK Polaris;Ž45;;;;*;10;-;15;12;;;;37;12;1051
Zupan;Romana;OK Komenda;Ž45;;;;;15;;;;;;;15;15;713
Prosen;Maja;OK Komenda;Ž45;;;;;;;;;;;;0;0;232
Debeljak;Maruša;OK Polaris;Ž45;;;;;;;;;;;;0;0;322
Anderluh;Marija;OK Polaris;Ž45;;;;;;;;;;;;0;0;400
Kordiš Miheljak;Urška;OK Slovenj Gradec;Ž45;;;;;;;;;;;;0;0;465
Pogorevčnik;Olga;OK Slovenj Gradec;Ž45;;;;;;;;;;;;0;0;958
Fras;Tina;OK Slovenj Gradec;Ž45;;;;;;;;;;;;0;0;1000
